nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       194, 3.599581003E+00, 4.047068655E-01, 5.000000000E-01,-2.916397154E-01, 6.121688336E-02, 1.747442546E-08
       195, 6.199832439E+00, 4.047099948E-01, 5.000000000E-01,-4.928634167E-01, 1.461524703E-02, 3.363940237E-08
       196, 2.399913788E+00, 4.047273397E-01, 5.000000000E-01,-1.008941382E-01, 1.495395508E-02, 1.600194446E-05
       197, 7.000262737E+00, 4.047380090E-01, 5.000000000E-01,-5.070530176E-01, 7.687227800E-03, 2.795340137E-08
       198, 7.400051594E+00, 4.047390223E-01, 5.000000000E-01,-5.109179020E-01, 5.611455068E-03, 2.386573250E-08
       199, 4.200025558E+00, 4.047472775E-01, 5.000000000E-01,-3.697061539E-01, 5.291260034E-02, 1.937725536E-08
       200, 7.200213432E+00, 4.047576785E-01, 5.000000000E-01,-5.091844797E-01, 6.558069028E-03, 2.590759962E-08
       201, 2.799867868E+00, 4.047775567E-01, 5.000000000E-01,-1.501305848E-01, 3.054564446E-02, 8.734732546E-06
       202, 5.999634266E+00, 4.047775269E-01, 5.000000000E-01,-4.873339534E-01, 1.710554399E-02, 3.405911997E-08
       203, 7.599724293E+00, 4.047893286E-01, 5.000000000E-01,-5.123379230E-01, 4.814040847E-03, 2.167496760E-08
       204, 2.599970102E+00, 4.048031271E-01, 5.000000000E-01,-1.221346110E-01, 1.870306209E-02, 1.310593507E-05
       205, 1.059975815E+01, 4.048030674E-01, 5.000000000E-01,-5.192257166E-01, 1.188841881E-03, 1.702690544E-09
       206, 1.039978409E+01, 4.048135579E-01, 5.000000000E-01,-5.189199448E-01, 1.131187193E-03, 2.179806113E-09
       207, 4.400132656E+00, 4.048233926E-01, 5.000000000E-01,-3.905925751E-01, 4.850572348E-02, 2.205306693E-08
       208, 1.079964733E+01, 4.048365653E-01, 5.000000000E-01,-5.195965767E-01, 1.257713535E-03, 1.292059792E-09
       209, 8.800117493E+00, 4.048454463E-01, 5.000000000E-01,-5.168145299E-01, 2.055786550E-03, 1.026197882E-08
       210, 1.019991684E+01, 4.048527181E-01, 5.000000000E-01,-5.186541080E-01, 1.129651209E-03, 2.772806207E-09
       211, 8.999897003E+00, 4.048641622E-01, 5.000000000E-01,-5.171738863E-01, 1.809696201E-03, 8.758394898E-09
       212, 7.799626350E+00, 4.048901796E-01, 5.000000000E-01,-5.134959221E-01, 4.144415259E-03, 1.957003803E-08
       213, 5.799813747E+00, 4.048918486E-01, 5.000000000E-01,-4.807211757E-01, 1.995039172E-02, 3.426243467E-08
       214, 4.600246906E+00, 4.049025476E-01, 5.000000000E-01,-4.092823863E-01, 4.389795661E-02, 2.459088400E-08
       215, 9.999834061E+00, 4.049352407E-01, 5.000000000E-01,-5.184183121E-01, 1.159136184E-03, 3.470502330E-09
       216, 8.600335121E+00, 4.049493372E-01, 5.000000000E-01,-5.163847208E-01, 2.348212525E-03, 1.191210508E-08
